,0,EVAL MID YIELD,COMPOSITE LIQUIDITY SCORE (T-1),COUPON FREQUENCY,NEXT COUPON RATE,REMAINING_TENURE_INT,ASSET-BACKED SECURITIES,CONSTRUCTION AND ENGINEERING,DIVERSIFIED HOLDINGS,FINANCIAL SERVICES,INDUSTRIAL PRODUCTS,INFRASTRUCTURES AND UTILITIES,MINING & PETROLEUM,PLANTATION AND AGRICULTURE,PROPERTY AND REAL ESTATE,PUBLIC FINANCE,TRADING & SERVICES
198,15,3.98,0.0,2,5.78,120,0,1,0,0,0,0,0,0,0,0,0
199,15,3.953,0.0,2,5.78,84,0,1,0,0,0,0,0,0,0,0,0
200,15,3.713,0.0,2,5.78,84,0,1,0,0,0,0,0,0,0,0,0
201,15,3.485,0.0,2,5.78,84,0,1,0,0,0,0,0,0,0,0,0
202,15,4.112,0.0,2,5.78,84,0,1,0,0,0,0,0,0,0,0,0
203,15,3.56,0.0,2,5.78,84,0,1,0,0,0,0,0,0,0,0,0
204,15,3.484,0.0,2,5.78,84,0,1,0,0,0,0,0,0,0,0,0
205,15,3.519,0.0,2,5.78,84,0,1,0,0,0,0,0,0,0,0,0
206,15,3.232,0.0,2,5.78,84,0,1,0,0,0,0,0,0,0,0,0
207,15,3.158,0.0,2,5.78,84,0,1,0,0,0,0,0,0,0,0,0
208,15,3.169,0.0,2,5.78,84,0,1,0,0,0,0,0,0,0,0,0
209,15,3.111,0.0,2,5.78,84,0,1,0,0,0,0,0,0,0,0,0
210,16,4.082,0.0,2,5.73,84,0,1,0,0,0,0,0,0,0,0,0
211,16,3.848,0.0,2,5.73,84,0,1,0,0,0,0,0,0,0,0,0
212,16,3.919,0.0,2,5.73,84,0,1,0,0,0,0,0,0,0,0,0
213,16,3.947,0.0,2,5.73,84,0,1,0,0,0,0,0,0,0,0,0
214,16,3.921,0.0,2,5.73,84,0,1,0,0,0,0,0,0,0,0,0
215,16,3.688,0.0,2,5.73,84,0,1,0,0,0,0,0,0,0,0,0
216,16,3.465,0.0,2,5.73,84,0,1,0,0,0,0,0,0,0,0,0
