,EVAL MID PRICE
1996,101.841
1997,101.722
1998,101.939
1999,102.373
2000,101.817
2001,102.269
2002,102.538
2003,102.358
2004,102.82
2005,102.868
2006,102.693
2007,102.664
2008,102.474
2009,102.983
2010,102.809
2011,102.672
2012,102.552
2013,102.878
2014,103.465
2015,102.586
2016,103.354
2017,103.647
2018,103.433
2019,104.097
2020,104.207
2021,104.0
2022,103.995
2023,101.699
2024,101.427
2025,101.242
2026,101.234
2027,101.691
2028,102.62
2029,103.196
2030,101.159
2031,103.178
2032,103.561
2033,103.49
2034,104.632
2035,104.776
2036,104.903
2037,104.933
2038,100.0
2039,100.879
2040,100.548
2041,100.266
2042,100.367
2043,101.214
2044,102.323
2045,100.206
2046,102.127
2047,102.517
2048,102.344
2049,103.754
2050,103.98
2051,103.772
2052,103.969
2053,102.332
2054,102.078
2055,101.841
2056,101.83
2057,102.323
2058,103.529
2059,104.18
2060,101.435
2061,104.132
2062,104.496
2063,104.353
2064,105.727
2065,105.924
2066,106.127
2067,106.161
2068,102.79
2069,102.826
2070,102.526
2071,102.52
2072,103.041
2073,104.545
2074,105.238
2075,101.736
2076,105.136
2077,105.448
2078,105.307
2079,106.895
2080,107.104
2081,107.403
2082,107.465
2083,101.637
2084,102.314
2085,102.042
2086,102.002
2087,101.935
2088,102.197
2089,102.611
2090,101.988
2091,102.532
2092,102.806
2093,102.683
2094,103.112
2095,103.021
2096,102.816
2097,102.768
2098,101.723
2099,102.66
2100,102.183
2101,102.134
2102,102.108
2103,102.591
2104,103.21
2105,102.092
2106,103.049
2107,103.391
2108,103.224
2109,103.997
2110,103.888
2111,103.745
2112,103.728
2113,101.542
2114,102.539
2115,102.048
2116,101.978
2117,101.959
2118,102.499
2119,103.139
2120,101.832
2121,102.836
2122,103.194
2123,102.913
2124,103.729
2125,103.609
2126,103.26
2127,103.262
2128,104.176
2129,105.627
2130,104.745
2131,104.425
2132,104.345
2133,105.445
2134,106.368
2135,104.216
2136,105.96
2137,106.491
2138,106.167
2139,107.343
2140,107.125
2141,107.013
2142,106.959
2143,103.395
2144,105.499
2145,104.099
2146,103.625
2147,103.438
2148,105.317
2149,106.741
2150,102.933
2151,106.207
2152,106.673
2153,106.009
2154,107.168
2155,107.017
2156,106.923
2157,106.988
2158,103.078
2159,103.588
2160,103.2
2161,103.241
2162,103.711
2163,105.487
2164,106.285
